"Valid Values","Description","source"
"mature basophil","A fully differentiated basophil, a granular leukocyte with an irregularly shaped, pale-staining nucleus that is partially constricted into two lobes, and with cytoplasm that contains coarse granules of variable size. Basophils contain vasoactive amines such as histamine and serotonin, which are released on appropriate stimulation. Synonyms: mature basophil leucocyte, mature basophil leukocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"multi fate stem cell","A stem cell that can give rise to multiple lineages of cells. Synonyms: multi-fate stem cell, multifate stem cell, multipotent cell, multipotent stem cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"common myeloid progenitor","A progenitor cell committed to myeloid lineage, including the megakaryocyte and erythroid lineages. Synonyms: common myeloid precursor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"megakaryocyte-erythroid progenitor cell","A progenitor cell committed to the megakaryocyte and erythroid lineages. Synonyms: CFU-EM, CFU-MegE, MEP, Meg/E progenitor, colony forming unit erythroid megakaryocyte, megakaryocyte/erythrocyte progenitor, megakaryocyte/erythroid progenitor cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"common lymphoid progenitor","A oligopotent progenitor cell committed to the lymphoid lineage. Synonyms: common lymphocyte precursor, common lymphocyte progenitor, common lymphoid precursor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"totipotent stem cell","A stem cell from which all cells of the body can form. Synonyms: totipotential stem cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"myoblast","A cell that is commited to differentiating into a muscle cell.  Embryonic myoblasts develop from the mesoderm. They undergo proliferation, migrate to their various sites, and then differentiate into the appropriate form of myocytes.  Myoblasts also occur as transient populations of cells in muscles undergoing repair.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"fibroblast","A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"chondroblast","Skeletogenic cell that is typically non-terminally differentiated, secretes an avascular, GAG rich matrix; is not buried in cartilage tissue matrix, retains the ability to divide, located adjacent to cartilage tissue (including within the perichondrium), and develops from prechondroblast (and thus prechondrogenic) cell. Synonyms: chrondoplast","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ameloblast","Skeletogenic cell that produces enamel, overlies the odontogenic papilla, and arises from the differentiation of a preameloblast cell. Synonyms: amelocyte, enamel secreting cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"odontoblast","Skeletogenic cell that secretes dentine matrix, is derived from the odontogenic papilla, and develops from a preodontoblast cell.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cementoblast","Skeletogenic cell that produces cementum (a bony substance that covers the root of a tooth), is part of the odontogenic papilla, and develops from a precementoblast cell. Synonyms: cementum secreting cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"osteoblast","Skeletogenic cell that secretes osteoid, is capable of producing mineralized (hydroxyapatite) matrix, is located adjacent to or within osteoid tissue, and arises from the transformation of a preosteoblast cell.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ciliated cell","A cell that has a filiform extrusion of the cell surface.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ependymal cell","A neuroepithelial glial cell, derived from a radial glial cell originating from the neuroectoderm, lines the ventricles of the brain and the central canal of the spinal cord. This cell is characterized by the presence of cilia on its apical surface, which can be motile or non-motile.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epithelial cell","A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina. Synonyms: epitheliocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ciliated epithelial cell","An epithelial cell that has a cilia.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"duct epithelial cell","An epithelial cell that is part of a duct.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"branched duct epithelial cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"blood vessel endothelial cell","An endothelial cell that lines the vasculature.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"non-branched duct epithelial cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"columnar/cuboidal epithelial cell","A columnar/cuboidal epithelial cell is a cell usually found in a two dimensional sheet with a free surface. Columnar/cuboidal epithelial cells take on the shape of a column or cube.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"squamous epithelial cell","An epithelial cell that has a flattened morphology.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mesothelial cell","A flat, squamous-like epithelial cell of mesodermal origin. It forms the mesothelium, which lines the body's serous cavities including the pleural, peritoneal, and pericardial spaces. This cell plays a crucial role in synthesizing and secreting lubricants, such as glycosaminoglycans and surfactants, which minimize friction between adjacent tissues during movement. Synonyms: mesotheliocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"peridermal cell","Any squamous epithelial cell that is part of some periderm.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stratified epithelial cell","An epithelial cell, organized into multiple layers, with only the basal layer being in contact with the basement membrane.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"circulating cell","A cell which moves among different tissues of the body, via blood, lymph, or other medium.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"blood cell","A cell found predominately in the blood.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epithelial cell of lung","An epithelial cell of the lung. Synonyms: lung epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epithelial cell of pancreas","An epithelial cell of the pancreas. Synonyms: pancreas epithelial cell, pancreatic epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"T cell","A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex. Synonyms: T lymphocyte, T-cell, T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kupffer cell","A tissue-resident macrophage of the reticuloendothelial system found on the luminal surface of the hepatic sinusoids involved in erythrocyte clearance. Markers include F4/80+, CD11b-low, CD68-positive, sialoadhesin-positive, CD163/SRCR-positive. Irregular, with long processes including lamellipodia extending into the sinusoid lumen, have flattened nucleus with cytoplasm containing characteristic invaginations of the plasma membrane (vermiform bodies); lie within the sinusoid lumen attached to the endothelial surface; derived from the bone marrow, form a major part of the body's mononuclear phagocyte system. Synonyms: hepatic macrophage, littoral cell of hepatic sinusoid, liver macrophage, macrophagocytus stellatus, stellate cell of von Kupffer, von Kupffer cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"osteoclast","A specialized phagocytic cell associated with the absorption and removal of the mineralized matrix of bone tissue, which typically differentiates from monocytes. This cell has the following markers: tartrate-resistant acid phosphatase type 5-positive, PU.1-positive, c-fos-positive, nuclear factor NF-kappa-B p100 subunit-positive, tumor necrosis factor receptor superfamily member 11A-positive and macrophage colony-stimulating factor 1 receptor-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"granulocyte","A leukocyte with abundant granules in the cytoplasm. Synonyms: granular leucocyte, granular leukocyte, polymorphonuclear leukocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mature neutrophil","A fully differentiated neutrophil, a granular leukocyte having a nucleus with three to five lobes connected by slender threads, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes. They are produced in bone marrow at a rate of 5e10-10e10/day and have a half-life of 6-8 hours. Neutrophils are CD15-positive, CD16-positive, CD32-positive, CD43-positive, CD181-positive, and CD182-positive. Synonyms: PMN, mature neutrocyte, mature neutrophil leucocyte, mature neutrophil leukocyte, mature neutrophilic leucocyte, mature neutrophilic leukocyte, polymorphonuclear neutrophil, polynuclear neutrophilic leucocyte, polynuclear neutrophilic leukocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mast cell","A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development. Synonyms: histaminocyte, labrocyte, mastocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"sensory epithelial cell","A specialized epithelial cell involved in sensory perception. Restricted to special sense organs of the olfactory, gustatory, and vestibulocochlear receptor systems; contain sensory cells surrounded by supportive, non-receptive cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mononuclear phagocyte","A vertebrate phagocyte with a single nucleus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"surface ectodermal cell","An ectodermal cell that is part of the external ectoderm, forming the outermost layer of the developing embryo. It is characterized by its polarized nature, with distinct apical and basal surfaces (Ferrante Jr., Reinke, & Stanley, 1995). Surface ectodermal cell gives rise to the epidermis, hair follicles, nails, sensory organs, and specialized structures like the apical ectodermal ridge crucial for limb development (Skoufa et al., 2024). Synonyms: cell of surface ectoderm, surface ectoderm cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endothelial cell","An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm. Synonyms: endotheliocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"basket cell","Basket cells are inhibitory GABAergic interneurons of the brain. In general, dendrites of basket cells are free branching and contain smooth spines. Axons are highly branched. The branched axonal arborizations give rise to basket-like structures that surround the soma of the target cell. Basket cells form axo-somatic synapses, meaning their synapses target somas of other cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"granule cell","A neuron of the vertebrate central nervous system that is small in size. This general class includes small neurons in the granular layer of the cerebellar cortex, cerebral cortex neurons that are not pyramidal cells and small neurons without axons found in the olfactory bulb.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"macroglial cell","A neuroglial cell of ectodermal origin, i.e., the astrocytes and oligodendrocytes considered together. Synonyms: macrogliocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"astrocyte","A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury. Synonyms: astrocytic glia","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"oligodendrocyte","A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system. Synonyms: OLs","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"microglial cell","A transcriptomically distinct central nervous system macrophage found in the parenchyma of the central nervous system. Marker include CD11b-positive, F4/80-positive, and CD68-positive. Synonyms: brain-resident macrophage, hortega cells, microgliocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"gut endothelial cell","An endothelial cell that lines the blood and lymphatic vessels of the digestive tract. This cell forms the gut–vascular barrier (GVB) through tight junctions and crosstalk with pericytes and enteric glial cells, regulating the passage of nutrients and immune cells while restricting microbial translocation into the bloodstream.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"corneal endothelial cell","An hexagonal, flattened, mitochondria-rich endothelial cell that forms a monolayer on the posterior surface of the cornea (the corneal endothelium). Corneal endothelial cells are derived from the neural crest and are responsible for keeping the cornea transparent by maintaining the tissue in a semi-dry state through the action of their ionic pumps and tight junction barrier.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"neurectodermal cell","Ectoderm destined to be nervous tissue. Synonyms: neurectoderm cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mesenchymal stem cell","A connective tissue cell that normally gives rise to other cells that are organized as three-dimensional masses. In humans, this cell type is CD73-positive, CD90-positive, CD105-positive, CD45-negative, CD34-negative, and MHCII-negative. They may further differentiate into osteoblasts, adipocytes, myocytes, neurons, or chondroblasts in vitro. Originally described as residing in the bone marrow, this cell type is now known to reside in many, if not all, adult organs.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"circulating fibrocyte","A bone marrow-derived cell that predominantly develops from myeloid lineage-restricted progenitor cells and circulates in peripheral blood, characterized by co-expression of hematopoietic markers CD45 and CD34 along with stromal markers including collagen type I in both humans and mice (Chesney et al., 1997; Blakaj and Bucala, 2012). This spindle-shaped cell exhibits a unique dual identity, functionally bridging immune and stromal compartments with characteristics of both monocytes and fibroblasts. Predominantly arising from circulating monocytes, it migrates to injury sites via chemokine receptors and participates in wound repair through extracellular matrix deposition, cytokine secretion, and antigen presentation via MHC class II. As mesenchymal progenitors, fibrocytes can differentiate into fibroblasts, myofibroblasts, and adipocytes, contributing to both physiological repair and pathological fibrosis (Blakaj and Bucala, 2012).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"adipocyte","A fat-storing cell found mostly in the abdominal cavity and subcutaneous tissue of mammals. Fat is usually stored in the form of triglycerides. Synonyms: adipose cell, fat cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"osteocyte","A mature osteoblast that has become embedded in the bone matrix. They occupy a small cavity, called lacuna, in the matrix and are connected to adjacent osteocytes via protoplasmic projections called canaliculi.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"chondrocyte","A skeletogenic cell that secretes a specialized, avascular, GAG-rich matrix, is embedded in cartilage tissue matrix, retains the ability to divide, and develops from a chondroblast cell. Synonyms: cartilage cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"odontocyte","Skeletogenic cell that secretes dentine matrix, is derived from odontogenic papilla. Embedded in dentine tissue, and is the transformation of a non-terminally differentiated odontoblast cell.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cementocyte","An osteocytelike cell with numerous processes, trapped in a lacuna in the cement of the tooth.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hyalocyte","A cell occurring in the peripheral part of the vitreous body of the eye that may be responsible for production of hyaluronic acid and collagen.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"professional antigen presenting cell","A cell capable of processing and presenting lipid and protein antigens to T cells in order to initiate an immune response.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"simple columnar epithelial cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pigment cell","A pigment cell is a cell that contains pigment granules. Synonyms: chromatocyte, chromatophore","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"melanocyte","A pigment cell derived from the neural crest. Contains melanin-filled pigment granules, which gives a brown to black appearance.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"visual pigment cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"glandular secretory epithelial cell","An epithelial cell, located in a gland, that is specialised for the synthesis and secretion of specific biomolecules, such as hormones, or mucous. Synonyms: glandular epithelial cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"secretory cell","A cell that specializes in controlled release of one or more substances.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"exocrine cell","A cell of an exocrine gland; i.e. a gland that discharges its secretion via a duct.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"glycosaminoglycan secreting cell","A cell that secretes glycosaminoglycans. Synonyms: GAG secreting cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"protein secreting cell","Any secretory cell that is capable of some protein secretion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"peptic cell","An epithelial cell of the stomach that is part of the fundic gastric gland. This cell is characterized by a basally located nucleus, abundant rough endoplasmic reticulum, and large apical secretory granules. It produces and secretes pepsinogen, the inactive precursor of the digestive enzyme pepsin. Synonyms: chief cell of stomach, gastric chief cell, pepsinogen secreting cell, zymogenic cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"surfactant secreting cell","A cell that specializes in secretion of surfactant in the alveoli of the lung.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"club cell","A non-mucous, epithelial secretory cell that is part of the tracheobronchial tree. A club cell has short microvilli but no cilia. A club cell is able to multiply and differentiate into ciliated cells to regenerate the bronchiolar epithelium and it also protects the tracheobronchial epithelium. Synonyms: Clara cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"seromucus secreting cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"goblet cell","A specialized, columnar, mucus secreting epithelial cell shaped like a flask or goblet. A narrow basal end contains the nucleus while the apical end is swollen by the accumulation of mucus laden secretory granules.  Short microvilli project from the apical plasma membrane. Synonyms: chalice cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"parietal cell","An epithelial cell of the stomach that is part of the fundic gastric gland. This cell is characterized by its pyramidal shape, abundant mitochondria, and a complex network of secretory canaliculi lined with microvilli. It secretes hydrochloric acid into the stomach lumen and produces intrinsic factor, essential for vitamin B12 absorption. Synonyms: gastric parietal cell, oxyntic cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endocrine cell","A cell of an endocrine gland, ductless glands that secrete substances which are released directly into the circulation and which influence metabolism and other body functions. Synonyms: endocrinocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"enteroendocrine cell","An endocrine cell that is located in the epithelium of the gastrointestinal tract or in the pancreas.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"chromaffin cell","A cell that stores epinephrine secretory vesicles. During times of stress, the nervous system signals the vesicles to secrete their hormonal content. Their name derives from their ability to stain a brownish color with chromic salts. Characteristically, they are located in the adrenal medulla and paraganglia of the sympathetic nervous system. Synonyms: phaeochromocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"peptide hormone secreting cell","Any secretory cell that is capable of some peptide hormone secretion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"insulin secreting cell","Any secretory cell that is capable of some insulin secretion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"type B pancreatic cell","A cell that secretes insulin and is located towards the center of the islets of Langerhans. Synonyms: B-cell of pancreatic islet, beta cell of pancreatic islet, insulin-secreting cell, pancreatic B cell, pancreatic B-cell, pancreatic beta cell, pancreatic islet core, type B enteroendocrine cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"glucagon secreting cell","A cell that secretes glucagon. Synonyms: glucagon-secreting cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pancreatic A cell","A type A enteroendocrine cell found in the periphery of the islets of Langerhans that secretes glucagon. Synonyms: alpha cell of islet of Langerhans, pancreatic alpha cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"somatostatin secreting cell","Any secretory cell that is capable of some somatostatin secretion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pancreatic D cell","A D cell located in the pancreas. Peripherally placed within the islets like type A cells; contains somatostatin. Synonyms: D-cell of pancreatic islet, delta cell of islet, delta cell of pancreatic islet, pancreatic D-cell, pancreatic delta cell, somatostatin-secreting pancreatic cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"steroid hormone secreting cell","Any secretory cell that is capable of some steroid hormone secretion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"luteal cell","A progesterone secreting cell in the corpus luteum. The large luteal cells develop from the granulosa cells. The small luteal cells develop from the theca cells. Synonyms: corpus luteum cell, lutein cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ecdysteroid secreting cell","Any secretory cell that is capable of some ecdysteroid secretion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"testosterone secreting cell","Any secretory cell that is capable of some testosterone secretion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Leydig cell","A Leydig cell is a testosterone-secreting cell in the interstitial area, between the seminiferous tubules, in the testis. Synonyms: interstitial cell of Leydig","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"progesterone secreting cell","Any secretory cell that is capable of some progesterone secretion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"estradiol secreting cell","A steroid hormone secreting cell that secretes estradiol.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hepatocyte","The main structural component of the liver. They are specialized epithelial cells that are organized into interconnected plates called lobules. Majority of cell population of liver, polygonal in shape, arranged in plates or trabeculae between sinusoids; may have single nucleus or binucleated.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"contractile cell","A cell whose primary function is to shorten.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"myoepithelial cell","Contractile cells resembling smooth muscle cells that are present in glands, notably the mammary gland, and aid in secretion. This cell has long weaving dendritic processes containing myofilament. Synonyms: basket epithelial cell, myoepitheliocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"myofibroblast cell","An animal cell that has characteristics of both a fibroblast cell and a smooth muscle cell. Synonyms: MFB","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"muscle cell","A mature contractile cell, commonly known as a myocyte. This cell has as part of its cytoplasm myofibrils organized in various patterns. Synonyms: muscle fiber, myocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cell of skeletal muscle","A somatic cell located in skeletal muscle. Synonyms: skeletal muscle cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"slow muscle cell","A muscle cell that develops tension more slowly than a fast-twitch fiber.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"fast muscle cell","A muscle cell that can develop high tension rapidly. It is usually innervated by a single alpha neuron. Synonyms: glycolytic muscle fiber","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"smooth muscle cell","A non-striated, elongated, spindle-shaped cell found lining the digestive tract, uterus, and blood vessels. They develop from specialized myoblasts (smooth muscle myoblast). Synonyms: SMCs, myocytes, smooth muscle, smooth muscle fiber","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"insect flight muscle cell","A muscle cell that is involved in the mechanism of insect flight. This encompasses both, cells that power flight and cells that control flight.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"sensory receptor cell","A cell that is capable of detection of a stimulus involved in sensory perception. Synonyms: receptor cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pain receptor cell","The peripheral receptor for pain. Includes receptors which are sensitive to painful mechanical stimuli, extreme heat or cold, and chemical stimuli. All mammalian nociceptors are free nerve endings. Synonyms: nociceptor, nocireceptor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mechanoreceptor cell","A cell specialized to transduce mechanical stimuli and relay that information centrally in the nervous system.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
