"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern"
"10xProbeSetReference","Name of probe set used in 10x Chromium Flex, Xenium, or Visium data. If custom modified probe set was used the probe reference should be included as metadata accompanying the experimental data files.","Flex Human Transcriptome Probe Set v1.0.1, Flex Human Transcriptome Probe Set v1.1.0, Visium Human Transcriptome v1, Visium Human Transcriptome v2, custom probe set","",TRUE,"","","","string","","","",""
"platform","The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment. Specify where applicable for experimental data files, else enter 'none'. In most cases only a single label is expected, however multiple selections can be provided in comma-delimited list where applicable e.g., for 10x Genomics fastq files please specify both the 10x instrument and the sequencing platform.","BD FACSAria Fusion cell sorter, BD FACSAria III, BD FACSCanto, BD FACSCanto II, BD FACSDiscover A8, BD FACSDiscover S8, BD FACSLyric Clinical, BD FACSMelody, BD FACSymphony S6, BD LSRFortessa, Chromium Controller, Chromium GEM-X Single Cell 3' Chip v4, Chromium Next GEM Chip G, Chromium Next GEM Chip H, Chromium Next GEM Chip K, Chromium Next GEM Chip M, Chromium Next GEM Chip Q, Chromium X, Chromium Xo, Chromium iX, CyTOF XT, Cytek Aurora, Cytek Aurora Evo, Fluidigm BioMark, GEM-X Flex Gene Expression Chip, GEM-X OCM 5' Chip, Helios Mass Cytometer, Hyperion, Illumina HiSeq 2500, Illumina HiSeq X Ten, Illumina NextSeq 500, Illumina NovaSeq 6000, Illumina NovaSeq X, Not Applicable, Olink Signature Q100, Sony MA900, Thermo Fisher Attune CytPix, Thermo Fisher Attune NxT, Thermo Fisher Attune Xenith, Visium CytAssist, Xenium, none, unknown","",TRUE,"","","list like error","string_list","","","",""
"specimenModality","Label assigned to experimental data files indicating whether the data contained corresponds to a single or multiple biospecimens","multispecimen, single specimen, unknown","",TRUE,"","","","string","","","",""
"individualID","Unique identifier assigned to each study participant. For multi-specimen data files provide all IDs in a comma-separated list.","","",TRUE,"","","#ClinicalMetadataTemplate unique error^^#BiospecimenMetadataTemplate str^^list like error","string_list","","","",""
"biospecimenID","A unique identifier assigned to specimens collected from study participants. For multi-specimen data files provide all IDs in a comma-separated list.","","",TRUE,"","","#BiospecimenMetadataTemplate unique error^^list like error","string_list","","","",""
"parentBiospecimenID","The biospecimenID associated with the originating biospecimen for derived or child biospecimens.","","",FALSE,"","","","string","","","",""
"biospecimenType","A label indicating the biological material collected for experimentation and data collection. Where applicable, provide all types in a comma-separated list.","PBMCs, cell line, fibroblast-like synoviocyte, kidney biopsy, none, plasma, primary cell culture, saliva, salivary gland, serum, skin biopsy, skin swab, stool, suction blister cells, suction blister fluid, synovial fluid, synovial tissue, total leukocytes, urine, uvea, whole blood","",TRUE,"","","#BiospecimenMetadataTemplate str^^#InVitroBiospecimenMetadataTemplate^^list like error","string_list","","","",""
"primaryCellSource","A label indicating the biological source material from which a primary cell culture was derived.","PBMCs, kidney, pannus-derived dermis, pannus-derived epidermis, salivary gland, synovial tissue, total leukocytes, urine, uvea, whole blood","",TRUE,"","","","string","","","",""
"metadataType","A label further classifying the content of metadata resource.","assay, biospecimen, cell coordinates, data dictionary, file manifest, medication, other, phenotype, protocol, single-cell metadata, target panel, template, tissue microarray map, tissue multiarray map, user manual","",TRUE,"","","","string","","","",""
"codingLanguage","The coding, aka programming, language(s) contained in the file marked with `resourceType = code`. Select all that apply.","C, C#, C++, Fortan, Java, Julia, Matlab, Python, R, Ruby, SAS","",TRUE,"","","","string","","","",""
"visitID","Ordinal ID distinguishing different patient visits.","","",TRUE,"","","","string","","","",""
"softwareAndVersion","Relevant software and version used to generate the data file.","BD FACSDiva 8.0.1, Cell Ranger 9.0.1, Cell Ranger ATAC v1.1.0, Cell Ranger v3.0.0, Cell Ranger v3.0.1, Cell Ranger v3.0.2, Cell Ranger v3.1.0, Cell Ranger v4.0.0, Cell Ranger v5.0.0, Cell Ranger v5.0.1, Cell Ranger v6.0.0, Cell Ranger v6.0.1, Cell Ranger v6.0.2, Cell Ranger v6.1.0, Cell Ranger v6.1.1, Cell Ranger v6.1.2, Cell Ranger v7.0.0, Cell Ranger v7.0.1, Cell Ranger v7.1.0, Cell Ranger v7.2.0, Cell Ranger v8.0.0, Cell Ranger v8.0.1, Cell Ranger v9.0.0, Space Ranger 3.0.0, Space Ranger 3.0.1, Space Ranger 3.1.0, Space Ranger 3.1.1, Space Ranger 3.1.2, Space Ranger 3.1.3, demuxlet","",FALSE,"","","","string","","","",""
"targetPanel","A unique or established human-readable name assigned to the panel of targets profiled in the experiment. For example, the panel of antibodies and corresponding fluorophores used in a flow cytometry experiment or panel used in a Xenium spatial transcriptomics experiment.","","",TRUE,"","","","string","","","",""
"targetPanelSize","The number of gene, transcript, protein, etc., targets profiled in the assay for assays that use a pre-defined set of probes, antibodies, etc., to measure biological components in samples. The input value is expected to be a whole integer that matches the number of targets described in the accompanying target panel metadata (i.e., targetPanelSynID).","","",FALSE,"","","int error","integer","","","",""
"nucleicAcidSource","The source of the nucleic acid used as input for sequencing library fragments. Select all that apply, though in most cases only a single label is expected.","BCR mRNA, CRISPR protospacer feature barcode, TCR mRNA, Tn5-accessible gDNA, antigen capture barcode, gDNA, globin-depleted RNA, intracellular protein feature barcode, multiplexing oligo, poly(A) RNA, rRNA-depleted RNA, surface protein feature barcode","",TRUE,"","","list like error","string_list","","","",""
"biospecimenSubtype","Biospecimen status before sample is processed into a scRNA-seq library. Several scRNA-seq technologies support a variety of sample processing methods which can introduces sources of technical variation.","FFPE tissue, PFA-fixed tissue, cell or tissue lysate, cell suspension, flow-sorted cells, fresh tissue, frozen tissue, nuclei suspension, supernatant","",FALSE,"","","","string","","","",""
"cellRangerOutput","10x Genomics Cell Ranger software output several different counts results and formats, some with different processing applied. This label distinguishes between these types and is particularly helpful when multiple files are uploaded with the sample name, e.g., barcodes.tsv.gz","Not Applicable, filtered MEX, filtered_feature_bc_matrix, filtered_peak_bc_matrix, raw MEX, raw_feature_bc_matrix, raw_peak_bc_matrix","",TRUE,"","","","string","","","",""
"alignmentReference","The genomic/transcriptomic reference used for performing read alignment against.","10x Cell Ranger Human GRCh38 2020-A, 10x Cell Ranger Human GRCh38 2024-A, GRCh38, modified GRCh38, unknown, vdj_GRCh38_alts_ensembl-4.0.0","",TRUE,"","","","string","","","",""
"libraryPrepMethod","Sequencing library preparation method or kit used to create the library. If no commercially available kit was used, please select 'in-house library prep'.","10x Chromium Fixed RNA Human Transcriptome, 10x Chromium GEM-X Single Cell 3' v4, 10x Chromium GEM-X Single Cell 5' v3, 10x Chromium Next GEM Single Cell 3', 10x Chromium Next GEM Single Cell 3' 3.1, 10x Chromium Next GEM Single Cell 5' v1.1, 10x Chromium Next GEM Single Cell 5' v2, 10x Chromium Next GEM Single Cell ATAC v2, 10x Chromium Single Cell Human BCR, 10x Chromium Single Cell Human TCR, 10x GEM-X Flex Gene Expression Human, 10x GEM-X Universal 5' Gene Expression v3, CEL-Seq2, Chromium Next GEM Single Cell ATAC v1.1, Fluidigm C1 HT, NEBNext Human Immune Sequencing Kit, NEBNext Ultra II Directional RNA Library, Nextera XT, Nextera XT DNA, QIAseq miRNA Library, SMART-Seq Human BCR with UMI, SMART-Seq Human TCR with UMI, SMART-Seq v4 Ultra Low Input RNA, SMARTer Stranded Total RNA v2, Takara Human BCR profiling for Illumina, Takara Human TCR profiling for Illumina, Takara Human TCRv2 profiling for Illumina, Takara Human scTCR profiling for Illumina, TruSeq Stranded mRNA, custom DASH-treatment, in-house library prep","",TRUE,"","","","string","","","",""
"datasetType","High-level classification of dataset entity distinguishing between datasets compiled for a specific publication or as a general data resource.","experimental, publication","",TRUE,"","","","string","","","",""
"acknowledgmentStatement","A Dataset-specific attribute specifying the path to the wiki subpage within the ARK Portal - backend project that contains the acknowledgement statement that must be included in publications using data from the given dataset as a stipulation of the conditions of use.","syn26710600/wiki/619685","",TRUE,"","","","string","","","",""
"ARKRelease","A Dataset-specific attribute specifying the ARK Portal release in which this dataset was first made available to the public.","1.0, 2.0, 2024.06.R1, 2024.07.R1, 2024.08.R1, 2024.09.R1, 2024.10.R1, 2024.12.R1, 2025.01.R1, 2025.02.R1, 2025.03.R1, 2025.04.R1, 2025.05.R1, 2025.06.R1, 2025.07.R1, 2025.08.R1, 2025.09.R1, 2025.10.R1, 2025.11.R1, 2025.12.R1","",TRUE,"","","","string","","","",""
"RObjectClass","Rds files store R objects, one per file. This label details the class of the R object saved to the Rds file or other similar file types.","ROCR prediction.object, Seurat object, SummarizedExperiment, Symphony reference, data.frame, list, matrix, sparse matrix, vector","",FALSE,"","","","string","","","",""
"diagnosis","A high-level classifier indicating the disease status of an individual.","At-Risk RA, Not Applicable, OA, RA, SLE, Sjogren's disease, control, cutaneous lupus erythematosus, dermatomyositis, discoid lupus erythematosus, lupus nephritis, psoriasis, psoriatic arthritis, scleroderma, unknown, vitiligo","",TRUE,"","","list like error","string_list","","","",""
"libraryID","A library label or name, unique within an experiment, used to distinguish sequencing libraries.","","",TRUE,"","","","string","","","",""
"associatedCodeURL","A URL to the repository where associated code is available.","","",FALSE,"","","","string","uri","","",""
"FMAID","Functional Model of Anatomy ontology ID corresponding to the anatomical site and origin of the biospecimen. This attribute is assigned by ARK Portal data managers.","","",TRUE,"","https://bioportal.bioontology.org/ontologies/FMA/?p=summary","int error","integer","","","",""
"skinSiteStatus","Disease manifestation status of skin biospecimen.","healthy control, lesional, lesional proximal, non-lesional","",TRUE,"","","","string","","","",""
"salivaCollectionProcedure","Classification of saliva collection procedure. This is a conditionally dependent attribute triggered for saliva `biospecimenType`.","stimulated, unstimulated","",TRUE,"","","","string","","","",""
"synovialCollectionProcedure","Classification of procedure for synovial tissue collection.","arthroplasty, biopsy, synovectomy, unknown","",TRUE,"","","","string","","","",""
"publicationType","General classification of publication.","correction, peer-reviewed, pre-print","",TRUE,"","","","string","","","",""
"title","Title of the publication.","","",TRUE,"","","","string","","","",""
"journal","Journal in which the publication was released","","",TRUE,"","","","string","","","",""
"publicationDate","The publication date extracted from PubMed database","","",TRUE,"","","","string","","","",""
"DOI","Digital object identifier","","",TRUE,"","","","string","uri-reference","","",""
