"Attribute","Description","Valid Values","DependsOn","Properties","Required","Parent","DependsOn Component","Source","Validation Rules"
"10xProbeSetReference","Name of probe set used in 10x Chromium Flex, Xenium, and Visium data. If custom modified probe set was used the probe reference should be included as metadata accompanying the experimental data files.","Flex Human Transcriptome Probe Set v1.1.0, Flex Human Transcriptome Probe Set v1.0.1, Visium Human Transcriptome v2, Visium Human Transcriptome v1, custom probe set","","","TRUE","","","",""
"custom probe set","This is a valid value of 10x Probe Set Reference and triggers a conditional dependency.","","custom10xProbeSetSynID","","FALSE","","","",""
"custom10xProbeSetSynID","If custom modified probe sets were used for collecting 10x Chromium Flex scRNA-seq data, then the probe reference files should be grouped as a zip or tar archive and uploaded as metadata. This attribute links the experimental data back to the probe set archive file via a synapse ID.","","","","TRUE","","","","regex search ^syn[0-9]{8} error"
"platform","The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment. Specify where applicable for experimental data files, else enter 'none'. In most cases only a single label is expected, however multiple selections can be provided in comma-delimited list where applicable e.g., for 10x Genomics fastq files please specify both the 10x instrument and the sequencing platform.","CyTOF XT, Helios Mass Cytometer, Hyperion, Illumina NextSeq 500, Illumina HiSeq 2500, Illumina NovaSeq 6000, Helios Mass Cytometer, Hyperion, Illumina NovaSeq X, Chromium X, Chromium iX, Chromium Xo, Chromium Controller, Visium CytAssist, Xenium, none","","","FALSE","","","","list like error"
"specimenModality","Label assigned to experimental data files indicating whether the data contained corresponds to a single or multiple biospecimens","single specimen, multispecimen","","","TRUE","","","",""
"individualID","Unique identifier assigned to each study participant. For multi-specimen data files provide all IDs in a comma-separated list.","","","","TRUE","","","","#ClinicalMetadataTemplate unique error^^#BiospecimenMetadataTemplate str^^list like error"
"biospecimenID","A unique identifier assigned to specimens collected from study participants. For multi-specimen data files provide all IDs in a comma-separated list.","","","","TRUE","","","","#BiospecimenMetadataTemplate unique error^^list like error"
"biospecimenType","A label indicating the biological material collected for experimentation and data collection. Where applicable, provide all types in a comma-separated list.","none, urine, stool, whole blood, serum, plasma, PBMCs, total leukocytes, kidney biopsy, synovial fluid, skin biopsy, salivary gland, saliva, skin swab, synovial tissue, suction blister cells, suction blister fluid","","","TRUE","","","","list like error^^#BiospecimenMetadataTemplate"
"metadata","Any file that contains curated data describing an experiment and experimental-derived data, including metadata about study subjects, biospecimens, protocols, assay reagents, marker panels, and ID mappings. Is a valid value of Resource Type that triggers conditional dependencies for additional attributes.","","metadataType","","FALSE","","","",""
"metadataType","A label further classifying the content of metadata resource.","","","","TRUE","","","",""
"figure","A file that contains a graphical representation of data such as a scatter plot, heatmap, etc. Is a valid value of Resource Type and may trigger conditional dependencies for additional attributes.","","","","FALSE","","","",""
"code","Files that contain code such as scripts, code packages, and software binary files. Is a valid value of Resource Type and may trigger conditional dependencies for additional attributes.","","","","FALSE","","","",""
"visitID","Ordinal ID distinguishing different patient visits","","","","FALSE","","","",""
"softwareAndVersion","Relevant software and version used to generate the data file.","Cell Ranger v9.0.0, Cell Ranger v8.0.1, Cell Ranger v8.0.0, Cell Ranger v7.2.0, Cell Ranger v7.1.0, Cell Ranger v7.0.1, Cell Ranger v7.0.0, Cell Ranger v6.1.2, Cell Ranger v6.1.1, Cell Ranger v6.1.0, Cell Ranger v6.0.2, Cell Ranger v6.0.1, Cell Ranger v6.0.0, Cell Ranger v5.0.1, Cell Ranger v5.0.0, Cell Ranger v4.0.0, Cell Ranger v3.1.0, Cell Ranger v3.0.2, Cell Ranger v3.0.1, Cell Ranger v3.0.0, Space Ranger 3.1.2, Space Ranger 3.1.1, Space Ranger 3.1.0, Space Ranger 3.0.1, Space Ranger 3.0.0, demuxlet","","","FALSE","","","",""
"targetPanel","A unique or established human-readable name assigned to the panel of targets profiled in the experiment. For example, the panel of antibodies and corresponding fluorophores used in a flow cytometry experiment or panel used in a Xenium spatial transcriptomics experiment.","","","","TRUE","","","",""
"targetPanelSynID","In most cases an accompanying metadata file should be provided that details information about the targets profiled in the experiment. This attribute links experimental data files to the target panel metadata via the synapse ID of that file.","","","","FALSE","","","","regex search ^syn[0-9]{8} error"
"nucleicAcidSource","The source of the nucleic acid used as input for sequencing library fragments. Select all that apply, though in most cases only a single label is expected.","poly(A) RNA, rRNA-depleted RNA, gDNA, surface protein feature barcode, intracellular protein feature barcode, antigen capture barcode, multiplexing oligo, BCR mRNA, TCR mRNA, Tn5-accessible gDNA, globin-depleted RNA, CRISPR protospacer feature barcode","","","TRUE","","","","list like error"
"biospecimenSubtype","Biospecimen status before sample is processed into a scRNA-seq library. Several scRNA-seq technologies support a variety of sample processing methods which can introduces sources of technical variation.","nuclei suspension, cell suspension, fresh tissue, frozen tissue, FFPE tissue, flow-sorted cells, PFA-fixed tissue","","","FALSE","","","",""
"cellRangerCountsOutput","10x Genomics Cell Ranger software output several different counts results and formats, some with different processing applied. This label distinguishes between these types and is particularly helpful when multiple files are uploaded with the sample name, e.g., barcodes.tsv.gz","raw feature bcmatrix, filtered feature bc matrix, molecule info","","","TRUE","","","",""
"alignmentReference","The genomic/transcriptomic reference used for performing read alignment against.","10x Cell Ranger Human GRCh38 2024-A, 10x Cell Ranger Human GRCh38 2020-A","","","TRUE","","","",""
"libraryPrepMethod","Sequencing library preparation method or kit used to create the library. If no commercially available kit was used, please select 'in-house library prep'.","NEBNext Ultra II Directional RNA Library, QIAseq miRNA Library, SMART-Seq v4 Ultra Low Input RNA, Nextera XT, SMARTer Stranded Total RNA v2, Nextera XT DNA, TruSeq Stranded mRNA, Chromium Single Cell Human TCR Amplification Kit, Chromium Single Cell Human BCR Amplification Kit, SMART-Seq Human BCR with UMI, SMART-Seq Human TCR with UMI, Takara Human BCR profiling for Illumina, Takara Human TCR profiling for Illumina, Takara Human TCRv2 profiling for Illumina, Takara Human scTCR profiling for Illumina, NEBNext Human Immune Sequencing Kit, 10x Chromium 3 GEX, 10x Chromium 3 GEX v3.1, 10x Chromium 5 GEX, 10x Universal 3 GEX, 10x Universal 5 GEX, 10x Chromium Flex, CEL-Seq2, Chromium scATAC Kit v2, in-house library prep, Chromium Next GEM Chip G","","","TRUE","","","",""
"datasetType","High-level classification of dataset entity distinguishing between datasets compiled for a specific publication or as a general data resource.","experimental, publication","","","TRUE","","","",""
"acknowledgmentStatement","A Dataset-specific attribute specifying the path to the wiki subpage within the ARK Portal - backend project that contains the acknowledgement statement that must be included in publications using data from the given dataset as a stipulation of the conditions of use.","syn26710600/wiki/619685","","","TRUE","","","",""
"datasetDescription","A Dataset-specific attribute specifying the synID of the folder that contains a wiki write-up of the dataset description. This wiki content will be surfaced on the ARK Portal frontend site.","","","","TRUE","","","","regex search ^syn[0-9]{8} error"
"ARKRelease","A Dataset-specific attribute specifying the ARK Portal release in which this dataset was first made available to the public.","1.0, 2.0, 2024.06.R1, 2024.07.R1, 2024.08.R1, 2024.09.R1, 2024.10.R1, 2024.12.R1, 2025.01.R1, 2025.02.R1, 2025.03.R1, 2025.04.R1, 2025.05.R1, 2025.06.R1, 2025.07.R1, 2025.08.R1, 2025.09.R1, 2025.10.R1, 2025.11.R1, 2025.12.R1","","","TRUE","","","",""
"RObjectClass","Rds files store R objects, one per file. This label details the class of the R object saved to the Rds file or other similar file types.","list, vector, sparse matrix, Seurat object, data.frame, matrix, SummarizedExperiment","","","FALSE","","","",""
"dbGapAccession","NIH policy requires large-scale human genomics studies to be registered in dbGap. This is a Dataset-specific attribute indicating the unique identifier (i.e., accession) of the corresponding study that is registered in dbGap.","","","","FALSE","","","",""
"diagnosis","A high-level classifier indicating the disease status of an individual.","control, SLE, RA, At-Risk-RA, vitiligo, dermatomyositis, PsO, PsA, scleroderma, SjD","","","TRUE","","","",""
"libraryID","A library label or name, unique within an experiment, used to distinguish sequencing libraries.","","","","FALSE","","","",""
"batch","A label or identifier that is unique within a given experiment or dataset used to group data related to sample processing, sample pooling, or data collection batches. These batches often introduce technical effects that can be important to account for in downstream analyses.","","","","FALSE","","","",""
"GitHubURL","A URL to the GitHub repository where associated code is available","","","","FALSE","","","",""
"FMAID","Functional Model of Anatomy ontology ID corresponding to the anatomical site and origin of the biospecimen. This is a conditionally dependent attribute triggered by a subset of `biospecimenType`.","","","","TRUE","","","https://bioportal.bioontology.org/ontologies/FMA/?p=summary","int"
"BRENDA","BRENDA Tissue and Enzyme Source Ontology ID (BTO) corresponding to the `biospecimenType`. This attribute is set by ARK Portal data managers.","","","","TRUE","","","https://bioportal.bioontology.org/ontologies/BTO","regex search ^BTO error"
"skinSiteStatus","Disease manifestation status of skin biospecimen.","lesional, lesional proximal, unaffected contralateral, unaffected","","","TRUE","","","",""
"skin swab","Is a valid value of `biospecimenType` that triggers conditional dependencies for additional attributes.","","skinSiteStatus, FMAID","","","","","",""
"skin biopsy","Is a valid value of `biospecimenType` that triggers conditional dependencies for additional attributes.","","skinSiteStatus, FMAID","","","","","",""
"suction blister cells","Is a valid value of `biospecimenType` that triggers conditional dependencies for additional attributes.","","skinSiteStatus, FMAID","","","","","",""
"suction blister fluid","Is a valid value of `biospecimenType` that triggers conditional dependencies for additional attributes.","","skinSiteStatus, FMAID","","","","","",""
"salivaCollectionProcedure","Classification of saliva collection procedure. This is a conditionally dependent attribute triggered for saliva `biospecimenType`.","stimulated, unstimulated","","","TRUE","","","",""
"saliva","Is a valid value of `biospecimenType` that triggers conditional dependencies for additional attributes.","","salivaCollectionProcedure","","","","","",""
"synovialCollectionProcedure","Classification of procedure for synovial tissue collection.","biopsy, arthroplasty, synovectomy","","","TRUE","","","",""
"synovial tissue","Is a valid value of `biospecimenType` that triggers conditional dependencies for additional attributes.","","synovialCollectionProcedure, FMAID","","","","","",""
"synovial fluid","Is a valid value of `biospecimenType` that triggers conditional dependencies for additional attributes.","","synovialCollectionProcedure, FMAID","","","","","",""
"publicationType","General classification of publication.","pre-print, peer-reviewed, correction","","","TRUE","","","",""
"title","Title of the publication.","","","","TRUE","","","",""
"journal","Journal in which the publication was released","","","","TRUE","","","",""
"year","Year (YYYY) in which the paper was published.","","","","TRUE","","","","regex search [1-2][0-9]{3} error"
"publicationDate","The publication date extracted from PubMed database","","","","TRUE","","","",""
"PMID","PubMed® Identifier","","","","TRUE","","","","regex search ^PMID error"
"DOI","Digital object identifier","","","","TRUE","","","",""
"anatomicalSite","Functional Model of Anatomy ontology label corresponding to the FMAID of the biospecimen collection site. This attribute is set by ARK Portal data managers.","","","","TRUE","","","",""
"vitiligoType","General type classification of vitiligo disease manifestation.","segmental, non-segmental, mixed, unclassified","","","FALSE","","","",""
"vitiligoSubtype","Subtype classification of vitiligo disease manifestation.","focal, mucosal, acrofacial, generalized, universal, unisegmental, bisegmental","","","FALSE","","","",""
"vitiligo","A valid value of `diagnosis` that triggers conditional dependencies for additional attributes.","","vitiligoType, vitiligoSubtype","","","","","",""
"ageDiagnosis","Age at which subject was diagnosed with `diagnosis`. If providing this value be sure the unit matches that used for `age`.","","","","FALSE","","","","num"
"age","Age at which subject was enrolled in study or age at corresponding visit and data collection event.","","","","TRUE","","","","num"
"ageUnits","The unit of measure used for `ageEnrollment` and `ageDiagnosis`","years, months","","","TRUE","","","",""
"sex","A textual description of a person's sex at birth.","female, male, intersex, unknown","","","TRUE","","","",""
"height","Standing height of subject.","","","","TRUE","","","","num"
"race","A textual description of a person's race.","asian, black or African American, white, hispanic, American indian or Alaska native, mixed race, native Hawaiian or other pacific islander, other, unknown","","","FALSE","","","",""
"ethnicity","The ethnicity of a person.","hispanic or latino, not hispanic or latino, unknown","","","FALSE","","","",""
"heightUnits","Unit of measure of value provided for `height`.","inches, centimeters, meters, feet","","","TRUE","","","",""
"weight","Weight of subject.","","","","TRUE","","","","num"
"weightUnits","Abbreviated unit of measure of value provided for `weight`.","lb, kg, g, oz","","","TRUE","","","",""
"comorbidities","Any diseases or medical condition that is simultaneously present in addition to `diagnosis`.","diabetes, cardiovascular disease, pulmonary disease, autoimmune thyroid disease, inflammatory bowel disease, psoriasis, multiple sclerosis, systemic lupus erythematosus, rheumatoid arthritis, other","","","FALSE","","","","list like error"
"diabetesType","Type of diabetes mellitus.","type 1, type 2, unknown, gestational","","","FALSE","","","",""
"diabetes","A valid value of `comorbidities` that triggers conditional dependencies for additional attributes.","","diabetesType","","","","","",""
"VIDA","Vitiligo Disease Activity Score, a six-point scale that evaluates the activity of vitiligo","","","","FALSE","","","",""
"VASI","Total body Vitiligo Area Severity Index, a measure of the percentage of vitiligo involvement across the body calculated in terms of hand units.","","","","FALSE","","","",""
"VETI","Vitiligo Extent Tensity Index measures the extent of vitiligo by a numerical score and combines analysis of extensity and severity of vitiligo to produce a constant and reproducible number.","","","","FALSE","","","https://doi.org/10.5826/dpc.0404a18","num"
"PASI","Psoriasis Area and Severity Index, is a measurement of the discoloration, thickness, scaling, and coverage of psoriasis plaques.","","","","FALSE","","","",""
"CDASI","Cutaneous Dermatomyositis Disease Area and Severity Index, is a measurement used to characterize cutaneous dermatomyositis severity.","","","","FALSE","","","",""
